versao,tamanho,threads,execucao,tempo
serial,1000,1,1,0.000410
serial,1000,1,2,0.000474
serial,1000,1,3,0.000397
serial,5000,1,1,0.008416
serial,5000,1,2,0.008172
serial,5000,1,3,0.008047
serial,10000,1,1,0.034782
serial,10000,1,2,0.034009
serial,10000,1,3,0.032784
serial,50000,1,1,1.348649
serial,50000,1,2,1.383077
serial,50000,1,3,1.326058
serial,100000,1,1,5.469012
serial,100000,1,2,5.495006
serial,100000,1,3,5.479814
openmp,1000,1,1,0.000593
openmp,1000,1,2,0.000614
openmp,1000,1,3,0.000729
openmp,1000,2,1,0.000807
openmp,1000,2,2,0.000816
openmp,1000,2,3,0.000959
openmp,1000,4,1,0.001067
openmp,1000,4,2,0.001176
openmp,1000,4,3,0.001039
openmp,1000,8,1,0.001520
openmp,1000,8,2,0.001461
openmp,1000,8,3,0.001559
openmp,5000,1,1,0.009232
openmp,5000,1,2,0.008659
openmp,5000,1,3,0.008729
openmp,5000,2,1,0.007145
openmp,5000,2,2,0.007511
openmp,5000,2,3,0.007639
openmp,5000,4,1,0.006431
openmp,5000,4,2,0.006476
openmp,5000,4,3,0.006730
openmp,5000,8,1,0.007051
openmp,5000,8,2,0.007154
openmp,5000,8,3,0.007716
openmp,10000,1,1,0.037073
openmp,10000,1,2,0.035945
openmp,10000,1,3,0.036485
openmp,10000,2,1,0.019607
openmp,10000,2,2,0.019423
openmp,10000,2,3,0.019234
openmp,10000,4,1,0.017619
openmp,10000,4,2,0.015605
openmp,10000,4,3,0.017619
openmp,10000,8,1,0.016807
openmp,10000,8,2,0.017402
openmp,10000,8,3,0.017634
openmp,50000,1,1,1.337973
openmp,50000,1,2,1.348746
openmp,50000,1,3,1.340766
openmp,50000,2,1,0.689033
openmp,50000,2,2,0.677312
openmp,50000,2,3,0.629019
openmp,50000,4,1,0.482648
openmp,50000,4,2,0.465735
openmp,50000,4,3,0.470124
openmp,50000,8,1,0.286169
openmp,50000,8,2,0.268444
openmp,50000,8,3,0.291954
openmp,100000,1,1,5.615658
openmp,100000,1,2,5.655627
openmp,100000,1,3,5.546722
openmp,100000,2,1,2.904058
openmp,100000,2,2,3.027951
openmp,100000,2,3,3.179337
openmp,100000,4,1,2.259110
openmp,100000,4,2,2.162040
openmp,100000,4,3,2.188189
openmp,100000,8,1,1.409643
openmp,100000,8,2,1.368631
openmp,100000,8,3,1.389968
mpi,1000,1,1,0.000336
mpi,1000,1,2,0.000325
mpi,1000,1,3,0.000297
mpi,1000,2,1,0.000490
mpi,1000,2,2,0.000298
mpi,1000,2,3,0.000286
mpi,1000,4,1,0.000321
mpi,1000,4,2,0.000493
mpi,1000,4,3,0.000459
mpi,1000,8,1,
mpi,1000,8,2,
mpi,1000,8,3,
mpi,5000,1,1,0.006409
mpi,5000,1,2,0.006593
mpi,5000,1,3,0.006933
mpi,5000,2,1,0.004089
mpi,5000,2,2,0.006212
mpi,5000,2,3,0.003879
mpi,5000,4,1,0.004191
mpi,5000,4,2,0.002800
mpi,5000,4,3,0.004239
mpi,5000,8,1,
mpi,5000,8,2,
mpi,5000,8,3,
mpi,10000,1,1,0.025254
mpi,10000,1,2,0.026080
mpi,10000,1,3,0.026619
mpi,10000,2,1,0.014384
mpi,10000,2,2,0.014390
mpi,10000,2,3,0.014828
mpi,10000,4,1,0.011324
mpi,10000,4,2,0.009490
mpi,10000,4,3,0.014179
mpi,10000,8,1,
mpi,10000,8,2,
mpi,10000,8,3,
mpi,50000,1,1,1.097751
mpi,50000,1,2,1.091757
mpi,50000,1,3,1.086097
mpi,50000,2,1,0.502613
mpi,50000,2,2,0.475183
mpi,50000,2,3,0.429497
mpi,50000,4,1,0.253003
mpi,50000,4,2,0.318962
mpi,50000,4,3,0.353511
mpi,50000,8,1,
mpi,50000,8,2,
mpi,50000,8,3,
mpi,100000,1,1,5.072094
mpi,100000,1,2,5.154930
mpi,100000,1,3,5.275553
mpi,100000,2,1,2.621784
mpi,100000,2,2,2.452933
mpi,100000,2,3,2.537452
mpi,100000,4,1,1.685320
mpi,100000,4,2,1.739641
mpi,100000,4,3,1.732225
mpi,100000,8,1,
mpi,100000,8,2,
mpi,100000,8,3,
